No,drawtime,returntime,from,to,min,distance
SPB-01857,2019-05-01 0:01,2019-05-01 0:03,1908,1957,2,480
SPB-18298,2019-05-01 0:03,2019-05-01 0:04,241,255,0,290
SPB-12844,2019-05-01 0:00,2019-05-01 0:04,1224,1249,4,960
SPB-15490,2019-05-01 0:01,2019-05-01 0:04,521,520,2,0
SPB-18475,2019-05-01 0:01,2019-05-01 0:04,364,361,3,730
SPB-11204,2019-05-01 0:01,2019-05-01 0:04,1983,1920,3,170
SPB-15403,2019-05-01 0:02,2019-05-01 0:05,2235,2280,2,740
SPB-07321,2019-05-01 0:01,2019-05-01 0:05,1454,1407,3,490
SPB-16110,2019-05-01 0:03,2019-05-01 0:05,962,954,2,510
SPB-05703,2019-05-01 0:02,2019-05-01 0:06,1454,1407,2,480
SPB-06616,2019-05-01 0:00,2019-05-01 0:06,276,257,6,980
SPB-19542,2019-05-01 0:03,2019-05-01 0:06,251,252,3,590
SPB-09941,2019-05-01 0:03,2019-05-01 0:06,512,561,3,500
SPB-15762,2019-05-01 0:04,2019-05-01 0:06,126,125,1,440
SPB-09466,2019-05-01 0:03,2019-05-01 0:07,258,274,3,660
SPB-14221,2019-05-01 0:04,2019-05-01 0:07,106,106,2,100
SPB-01402,2019-05-01 0:01,2019-05-01 0:07,3506,585,5,670
SPB-05458,2019-05-01 0:02,2019-05-01 0:07,316,306,4,540
SPB-02631,2019-05-01 0:02,2019-05-01 0:07,247,280,4,980
SPB-16482,2019-05-01 0:00,2019-05-01 0:07,1337,1338,6,770
SPB-00371,2019-05-01 0:02,2019-05-01 0:07,224,259,5,1030
SPB-07729,2019-05-01 0:04,2019-05-01 0:07,358,356,3,820
SPB-16212,2019-05-01 0:04,2019-05-01 0:07,623,622,2,820
SPB-04468,2019-05-01 0:05,2019-05-01 0:07,303,301,1,570
SPB-06661,2019-05-01 0:05,2019-05-01 0:07,1135,1132,1,520
SPB-19048,2019-05-01 0:05,2019-05-01 0:07,221,207,2,750
SPB-18572,2019-05-01 0:04,2019-05-01 0:08,2359,2294,3,470
SPB-13919,2019-05-01 0:03,2019-05-01 0:08,1243,1247,4,780
SPB-10887,2019-05-01 0:00,2019-05-01 0:08,418,915,7,1620
SPB-06950,2019-05-01 0:02,2019-05-01 0:08,240,263,5,850
SPB-11556,2019-05-01 0:00,2019-05-01 0:08,438,419,7,1120
SPB-03857,2019-05-01 0:00,2019-05-01 0:08,438,419,7,1160
SPB-09607,2019-05-01 0:03,2019-05-01 0:08,3501,591,4,870
SPB-11825,2019-05-01 0:04,2019-05-01 0:08,2363,2385,4,740
SPB-02879,2019-05-01 0:04,2019-05-01 0:08,2177,2176,3,420
SPB-14056,2019-05-01 0:03,2019-05-01 0:08,2701,1162,4,940
SPB-12642,2019-05-01 0:04,2019-05-01 0:08,568,378,3,600
SPB-13548,2019-05-01 0:03,2019-05-01 0:09,1528,1531,5,1130
SPB-07774,2019-05-01 0:03,2019-05-01 0:09,551,3542,5,830
SPB-02877,2019-05-01 0:03,2019-05-01 0:09,524,522,5,1320
SPB-07469,2019-05-01 0:03,2019-05-01 0:09,1199,1124,5,960
SPB-02623,2019-05-01 0:05,2019-05-01 0:09,1132,1135,3,670
SPB-16420,2019-05-01 0:02,2019-05-01 0:09,1318,1346,6,1010
SPB-18296,2019-05-01 0:00,2019-05-01 0:09,2102,2177,8,1660
SPB-08364,2019-05-01 0:03,2019-05-01 0:09,418,413,5,820
SPB-03758,2019-05-01 0:01,2019-05-01 0:09,602,648,7,1420
SPB-19743,2019-05-01 0:00,2019-05-01 0:09,1373,1353,8,1760
SPB-04438,2019-05-01 0:02,2019-05-01 0:09,2102,2107,6,1830
SPB-05297,2019-05-01 0:05,2019-05-01 0:10,1177,1152,3,1050
SPB-04998,2019-05-01 0:04,2019-05-01 0:10,546,3501,5,850
SPB-12010,2019-05-01 0:01,2019-05-01 0:10,2177,2144,8,260
SPB-19779,2019-05-01 0:01,2019-05-01 0:10,1449,650,8,1760
SPB-18547,2019-05-01 0:08,2019-05-01 0:10,3502,3517,2,420
SPB-08154,2019-05-01 0:06,2019-05-01 0:10,1332,647,4,1160
SPB-02042,2019-05-01 0:07,2019-05-01 0:10,1253,1283,2,580
SPB-18392,2019-05-01 0:03,2019-05-01 0:11,1672,1627,7,1580
SPB-07725,2019-05-01 0:06,2019-05-01 0:11,262,275,4,650
SPB-04062,2019-05-01 0:05,2019-05-01 0:11,828,807,5,980
SPB-14152,2019-05-01 0:08,2019-05-01 0:11,1665,1681,2,710
SPB-03461,2019-05-01 0:04,2019-05-01 0:11,574,3520,6,1430
SPB-07390,2019-05-01 0:04,2019-05-01 0:11,1503,1530,6,720
SPB-10070,2019-05-01 0:06,2019-05-01 0:11,1161,1184,4,760
SPB-02439,2019-05-01 0:00,2019-05-01 0:11,514,504,10,2070
SPB-14051,2019-05-01 0:05,2019-05-01 0:11,1961,241,5,900
SPB-14412,2019-05-01 0:03,2019-05-01 0:11,2293,2505,8,1470
SPB-12682,2019-05-01 0:04,2019-05-01 0:11,634,1403,6,1670
SPB-04397,2019-05-01 0:00,2019-05-01 0:11,1643,1602,10,1970
SPB-03303,2019-05-01 0:04,2019-05-01 0:11,107,151,6,1430
SPB-14518,2019-05-01 0:06,2019-05-01 0:11,1408,1433,5,1110
SPB-04566,2019-05-01 0:08,2019-05-01 0:11,551,543,3,530
SPB-06050,2019-05-01 0:03,2019-05-01 0:11,1029,1003,8,1180
SPB-00582,2019-05-01 0:03,2019-05-01 0:11,1543,1501,7,1340
SPB-15610,2019-05-01 0:03,2019-05-01 0:11,419,154,7,1190
SPB-19890,2019-05-01 0:05,2019-05-01 0:11,2384,2387,6,1000
SPB-06992,2019-05-01 0:06,2019-05-01 0:12,1029,1011,5,1050
SPB-16163,2019-05-01 0:03,2019-05-01 0:12,107,151,8,1430
SPB-09979,2019-05-01 0:08,2019-05-01 0:12,3507,584,3,460
SPB-07028,2019-05-01 0:05,2019-05-01 0:12,383,361,6,850
SPB-07186,2019-05-01 0:08,2019-05-01 0:12,3507,584,3,590
SPB-13130,2019-05-01 0:04,2019-05-01 0:12,1117,1125,7,1130
SPB-06157,2019-05-01 0:00,2019-05-01 0:12,228,1169,11,2600
SPB-19512,2019-05-01 0:08,2019-05-01 0:12,1178,1102,3,490
SPB-14922,2019-05-01 0:03,2019-05-01 0:12,302,368,8,1360
SPB-16047,2019-05-01 0:04,2019-05-01 0:12,363,1308,7,1100
SPB-19686,2019-05-01 0:03,2019-05-01 0:12,2016,2173,8,1180
SPB-06866,2019-05-01 0:08,2019-05-01 0:12,500,3509,3,990
SPB-14870,2019-05-01 0:09,2019-05-01 0:12,526,625,2,690
SPB-14589,2019-05-01 0:04,2019-05-01 0:12,543,576,7,1460
SPB-09366,2019-05-01 0:02,2019-05-01 0:12,1024,1048,9,2240
SPB-05855,2019-05-01 0:09,2019-05-01 0:12,2015,2015,2,0
SPB-00043,2019-05-01 0:05,2019-05-01 0:12,543,576,6,1460
SPB-18672,2019-05-01 0:03,2019-05-01 0:12,1673,1668,8,980
SPB-13151,2019-05-01 0:02,2019-05-01 0:12,2177,2157,10,45810
SPB-04094,2019-05-01 0:07,2019-05-01 0:12,2140,2107,4,790
SPB-02837,2019-05-01 0:02,2019-05-01 0:12,2177,2157,10,750
SPB-11134,2019-05-01 0:00,2019-05-01 0:13,3504,3509,11,1920
SPB-17476,2019-05-01 0:04,2019-05-01 0:13,622,639,8,1540
SPB-14816,2019-05-01 0:03,2019-05-01 0:13,163,188,8,2100
SPB-05505,2019-05-01 0:03,2019-05-01 0:13,101,152,9,1220
SPB-08335,2019-05-01 0:04,2019-05-01 0:13,378,550,7,1730
SPB-04937,2019-05-01 0:07,2019-05-01 0:13,374,382,5,850
SPB-04683,2019-05-01 0:01,2019-05-01 0:13,1318,1321,12,2220
SPB-19316,2019-05-01 0:06,2019-05-01 0:13,1447,1452,7,1070
SPB-14160,2019-05-01 0:00,2019-05-01 0:13,1321,1351,13,2420
SPB-17227,2019-05-01 0:06,2019-05-01 0:13,558,537,6,1250
SPB-18881,2019-05-01 0:08,2019-05-01 0:13,237,2066,5,1150
SPB-06510,2019-05-01 0:05,2019-05-01 0:13,588,593,7,1520
SPB-13136,2019-05-01 0:07,2019-05-01 0:13,107,105,6,850
SPB-17678,2019-05-01 0:06,2019-05-01 0:14,265,239,7,1120
SPB-12897,2019-05-01 0:08,2019-05-01 0:14,1332,1333,5,650
SPB-02757,2019-05-01 0:03,2019-05-01 0:14,1214,1275,10,1500
SPB-16918,2019-05-01 0:02,2019-05-01 0:14,737,726,11,3260
SPB-01853,2019-05-01 0:10,2019-05-01 0:14,838,846,4,870
SPB-12008,2019-05-01 0:07,2019-05-01 0:14,1709,1726,6,1220
SPB-19742,2019-05-01 0:03,2019-05-01 0:14,268,283,10,1440
SPB-10351,2019-05-01 0:01,2019-05-01 0:14,654,641,12,1590
SPB-07220,2019-05-01 0:08,2019-05-01 0:14,1222,1269,6,590
SPB-16489,2019-05-01 0:08,2019-05-01 0:14,1251,2620,6,1050
SPB-06686,2019-05-01 0:04,2019-05-01 0:15,1503,1516,10,1320
SPB-19599,2019-05-01 0:03,2019-05-01 0:15,3541,504,11,1540
SPB-12183,2019-05-01 0:03,2019-05-01 0:15,1416,650,11,1620
SPB-05981,2019-05-01 0:08,2019-05-01 0:15,1195,1112,6,1250
SPB-19119,2019-05-01 0:04,2019-05-01 0:15,1513,1742,10,1500
SPB-15748,2019-05-01 0:02,2019-05-01 0:15,2372,2360,12,2630
SPB-02839,2019-05-01 0:03,2019-05-01 0:15,2136,2176,11,1680
SPB-06588,2019-05-01 0:06,2019-05-01 0:15,1961,1985,8,1470
SPB-15261,2019-05-01 0:04,2019-05-01 0:15,1306,1337,10,1270
SPB-18254,2019-05-01 0:05,2019-05-01 0:15,3533,3536,10,1570
SPB-09290,2019-05-01 0:03,2019-05-01 0:15,592,592,12,1230
SPB-02139,2019-05-01 0:13,2019-05-01 0:15,2265,2264,2,620
SPB-14173,2019-05-01 0:07,2019-05-01 0:16,1721,1709,7,1410
SPB-09164,2019-05-01 0:09,2019-05-01 0:16,1308,361,5,1510
SPB-15296,2019-05-01 0:07,2019-05-01 0:16,1019,1264,8,1940
SPB-12524,2019-05-01 0:09,2019-05-01 0:16,3519,625,6,64320
SPB-12279,2019-05-01 0:11,2019-05-01 0:16,2601,2610,4,850
SPB-16967,2019-05-01 0:12,2019-05-01 0:16,342,344,3,960
SPB-18270,2019-05-01 0:07,2019-05-01 0:16,590,3501,8,1340
SPB-04403,2019-05-01 0:03,2019-05-01 0:16,1741,1532,12,3030
SPB-11021,2019-05-01 0:08,2019-05-01 0:16,1421,1406,7,1200
SPB-13742,2019-05-01 0:12,2019-05-01 0:16,502,502,3,0
SPB-05275,2019-05-01 0:04,2019-05-01 0:16,349,394,11,1880
SPB-10479,2019-05-01 0:02,2019-05-01 0:16,414,406,12,1540
SPB-02213,2019-05-01 0:12,2019-05-01 0:16,2202,2206,4,1170
SPB-15322,2019-05-01 0:02,2019-05-01 0:16,723,729,14,2660
SPB-18344,2019-05-01 0:13,2019-05-01 0:16,1060,1061,2,310
SPB-03050,2019-05-01 0:13,2019-05-01 0:16,163,909,3,480
SPB-05622,2019-05-01 0:06,2019-05-01 0:16,834,841,9,2000
SPB-10511,2019-05-01 0:09,2019-05-01 0:16,2299,2505,6,1130
SPB-13990,2019-05-01 0:01,2019-05-01 0:16,1955,255,14,3580
SPB-11971,2019-05-01 0:04,2019-05-01 0:16,1212,2412,11,2440
SPB-12878,2019-05-01 0:05,2019-05-01 0:17,3513,1372,11,2090
SPB-06331,2019-05-01 0:06,2019-05-01 0:17,1361,1355,10,2140
SPB-12883,2019-05-01 0:14,2019-05-01 0:17,1610,1610,2,120
SPB-06505,2019-05-01 0:05,2019-05-01 0:17,1668,1667,11,1610
SPB-10265,2019-05-01 0:05,2019-05-01 0:17,1534,1514,10,2590
SPB-02406,2019-05-01 0:09,2019-05-01 0:17,1011,1050,7,1360
SPB-03168,2019-05-01 0:04,2019-05-01 0:17,703,758,12,2220
SPB-15416,2019-05-01 0:09,2019-05-01 0:17,3533,588,8,870
SPB-15072,2019-05-01 0:10,2019-05-01 0:17,838,846,6,860
SPB-18095,2019-05-01 0:03,2019-05-01 0:17,1166,1191,14,1880
SPB-11767,2019-05-01 0:10,2019-05-01 0:17,2222,2032,6,870
SPB-14221,2019-05-01 0:10,2019-05-01 0:17,106,106,7,250
SPB-08264,2019-05-01 0:12,2019-05-01 0:17,1222,2613,5,720
SPB-15965,2019-05-01 0:14,2019-05-01 0:17,1928,1994,2,600
SPB-07827,2019-05-01 0:09,2019-05-01 0:17,233,263,7,1200
SPB-00292,2019-05-01 0:00,2019-05-01 0:17,388,1372,16,3300
SPB-03539,2019-05-01 0:04,2019-05-01 0:17,1243,2384,13,2010
SPB-02570,2019-05-01 0:08,2019-05-01 0:18,2384,2377,9,1340
SPB-06868,2019-05-01 0:16,2019-05-01 0:18,431,378,1,320
SPB-14777,2019-05-01 0:15,2019-05-01 0:18,3513,3514,2,610
SPB-12765,2019-05-01 0:04,2019-05-01 0:18,846,838,12,820
SPB-09987,2019-05-01 0:03,2019-05-01 0:18,344,1306,14,1620
SPB-16645,2019-05-01 0:12,2019-05-01 0:18,1009,1274,5,820
SPB-09693,2019-05-01 0:01,2019-05-01 0:18,574,549,16,910
SPB-15014,2019-05-01 0:07,2019-05-01 0:18,2140,2139,10,1770
SPB-12294,2019-05-01 0:07,2019-05-01 0:18,3501,515,10,1000
SPB-12959,2019-05-01 0:06,2019-05-01 0:18,2355,2380,11,1880
SPB-19019,2019-05-01 0:08,2019-05-01 0:18,2102,2176,9,1210
SPB-16784,2019-05-01 0:10,2019-05-01 0:18,253,255,7,0
SPB-07735,2019-05-01 0:15,2019-05-01 0:18,3509,571,3,600
SPB-13548,2019-05-01 0:10,2019-05-01 0:18,1531,1319,8,1450
SPB-02394,2019-05-01 0:09,2019-05-01 0:18,411,402,9,1400
SPB-11173,2019-05-01 0:04,2019-05-01 0:18,361,374,14,1480
SPB-18501,2019-05-01 0:13,2019-05-01 0:18,1152,1177,5,1070
SPB-05369,2019-05-01 0:05,2019-05-01 0:18,1166,1121,13,2720
SPB-13482,2019-05-01 0:12,2019-05-01 0:18,2384,2387,5,1070
SPB-13941,2019-05-01 0:14,2019-05-01 0:19,1244,1243,4,410
SPB-01121,2019-05-01 0:07,2019-05-01 0:19,2306,2306,11,0
SPB-04067,2019-05-01 0:09,2019-05-01 0:19,2273,2246,9,1530
SPB-02180,2019-05-01 0:14,2019-05-01 0:19,1151,1150,4,1180
SPB-05186,2019-05-01 0:14,2019-05-01 0:19,147,146,4,130
SPB-06766,2019-05-01 0:08,2019-05-01 0:19,2016,2177,10,2800
SPB-19174,2019-05-01 0:03,2019-05-01 0:19,2113,2174,15,2860
SPB-10870,2019-05-01 0:07,2019-05-01 0:19,1458,1431,11,1330
SPB-06240,2019-05-01 0:11,2019-05-01 0:19,1431,1402,7,1400
SPB-11340,2019-05-01 0:14,2019-05-01 0:19,2265,2230,4,980
SPB-17342,2019-05-01 0:07,2019-05-01 0:19,415,401,11,2520
SPB-08824,2019-05-01 0:00,2019-05-01 0:19,1531,1530,18,3690
SPB-12637,2019-05-01 0:09,2019-05-01 0:19,2102,2183,10,1900
SPB-05109,2019-05-01 0:16,2019-05-01 0:19,1169,1171,2,610
SPB-06034,2019-05-01 0:11,2019-05-01 0:19,1222,1221,8,1290
SPB-06245,2019-05-01 0:08,2019-05-01 0:19,1998,1933,11,2690
SPB-11024,2019-05-01 0:14,2019-05-01 0:19,1413,1420,5,850
SPB-18851,2019-05-01 0:13,2019-05-01 0:19,2619,1251,5,1100
SPB-06016,2019-05-01 0:02,2019-05-01 0:19,2337,2332,17,3530
SPB-17114,2019-05-01 0:11,2019-05-01 0:20,1663,647,8,2350
SPB-04071,2019-05-01 0:15,2019-05-01 0:20,154,102,3,830
SPB-14828,2019-05-01 0:05,2019-05-01 0:20,1824,1804,14,3210
SPB-03035,2019-05-01 0:04,2019-05-01 0:20,1303,363,15,2460
SPB-04683,2019-05-01 0:14,2019-05-01 0:20,1321,1372,5,1030
SPB-15490,2019-05-01 0:11,2019-05-01 0:20,520,1351,8,0
SPB-19149,2019-05-01 0:17,2019-05-01 0:20,342,355,2,0
SPB-13810,2019-05-01 0:12,2019-05-01 0:20,2330,2508,7,1260
SPB-19973,2019-05-01 0:09,2019-05-01 0:20,1243,2375,10,2220
SPB-08815,2019-05-01 0:07,2019-05-01 0:20,2244,2251,11,1510
SPB-09431,2019-05-01 0:14,2019-05-01 0:20,1130,1131,5,520
SPB-09017,2019-05-01 0:11,2019-05-01 0:20,951,931,8,1820
SPB-02553,2019-05-01 0:12,2019-05-01 0:20,125,145,7,1440
SPB-06926,2019-05-01 0:15,2019-05-01 0:20,587,514,4,980
SPB-19985,2019-05-01 0:05,2019-05-01 0:20,1369,1529,13,2290
SPB-10436,2019-05-01 0:10,2019-05-01 0:20,242,252,9,1990
SPB-06953,2019-05-01 0:01,2019-05-01 0:20,1431,650,18,3880
SPB-02748,2019-05-01 0:12,2019-05-01 0:20,3534,548,7,1730
SPB-06264,2019-05-01 0:15,2019-05-01 0:20,1169,1169,4,90
SPB-07740,2019-05-01 0:06,2019-05-01 0:20,712,704,13,2940
SPB-15883,2019-05-01 0:11,2019-05-01 0:20,327,369,8,1210
SPB-06398,2019-05-01 0:10,2019-05-01 0:20,1047,1009,9,1620
SPB-02013,2019-05-01 0:06,2019-05-01 0:20,363,637,13,3310
SPB-11916,2019-05-01 0:01,2019-05-01 0:20,641,568,18,2120
SPB-11768,2019-05-01 0:15,2019-05-01 0:20,1321,1366,5,850
SPB-16643,2019-05-01 0:10,2019-05-01 0:21,1047,1009,9,1580
SPB-18017,2019-05-01 0:16,2019-05-01 0:21,613,614,4,880
SPB-07048,2019-05-01 0:15,2019-05-01 0:21,551,505,5,0
SPB-15981,2019-05-01 0:11,2019-05-01 0:21,1654,1619,9,2020
SPB-05820,2019-05-01 0:12,2019-05-01 0:21,150,141,8,1550
SPB-09212,2019-05-01 0:10,2019-05-01 0:21,274,293,10,1580
SPB-06233,2019-05-01 0:14,2019-05-01 0:21,1293,1220,6,1350
SPB-19883,2019-05-01 0:17,2019-05-01 0:21,2281,2222,3,510
SPB-04306,2019-05-01 0:13,2019-05-01 0:21,1174,1153,7,1360
SPB-18133,2019-05-01 0:17,2019-05-01 0:21,1023,1057,3,750
SPB-06162,2019-05-01 0:09,2019-05-01 0:21,2701,1177,11,2370
SPB-09959,2019-05-01 0:03,2019-05-01 0:21,634,602,16,3710
SPB-08593,2019-05-01 0:08,2019-05-01 0:21,1850,2115,12,1880
SPB-06761,2019-05-01 0:12,2019-05-01 0:21,2143,2107,8,6220
SPB-15174,2019-05-01 0:11,2019-05-01 0:21,1637,1670,9,1780
SPB-07183,2019-05-01 0:08,2019-05-01 0:21,508,3509,13,2450
SPB-17976,2019-05-01 0:15,2019-05-01 0:21,505,3504,5,570
SPB-02473,2019-05-01 0:12,2019-05-01 0:21,126,185,8,1610
SPB-09024,2019-05-01 0:05,2019-05-01 0:21,1620,1654,15,1820
SPB-16047,2019-05-01 0:14,2019-05-01 0:21,1308,362,6,1550
SPB-17638,2019-05-01 0:04,2019-05-01 0:21,1001,3516,17,3390
SPB-03412,2019-05-01 0:16,2019-05-01 0:21,411,408,4,580
SPB-07935,2019-05-01 0:10,2019-05-01 0:21,178,176,10,1940
SPB-12235,2019-05-01 0:09,2019-05-01 0:21,1503,1543,12,1330
SPB-08962,2019-05-01 0:15,2019-05-01 0:21,719,747,5,520
SPB-00085,2019-05-01 0:05,2019-05-01 0:21,1285,1265,15,3320
SPB-07663,2019-05-01 0:13,2019-05-01 0:21,1636,1690,8,820
SPB-16958,2019-05-01 0:03,2019-05-01 0:21,1829,1854,18,1760
SPB-18532,2019-05-01 0:14,2019-05-01 0:21,615,609,7,1350
SPB-10630,2019-05-01 0:02,2019-05-01 0:21,1308,3514,18,2390
SPB-05545,2019-05-01 0:04,2019-05-01 0:22,2063,2009,17,1800
SPB-06210,2019-05-01 0:08,2019-05-01 0:22,1403,1414,13,2740
SPB-17829,2019-05-01 0:10,2019-05-01 0:22,1297,1212,10,1440
SPB-02903,2019-05-01 0:17,2019-05-01 0:22,147,439,4,560
SPB-18226,2019-05-01 0:04,2019-05-01 0:22,2063,2009,17,1800
SPB-18985,2019-05-01 0:13,2019-05-01 0:22,1124,1173,8,1480
SPB-15232,2019-05-01 0:16,2019-05-01 0:22,1268,1262,5,0
SPB-15398,2019-05-01 0:16,2019-05-01 0:22,306,461,5,890
SPB-05268,2019-05-01 0:05,2019-05-01 0:22,2102,2067,16,2400
SPB-07009,2019-05-01 0:12,2019-05-01 0:22,840,808,9,2000
SPB-08840,2019-05-01 0:12,2019-05-01 0:22,2265,2227,9,1360
SPB-19360,2019-05-01 0:00,2019-05-01 0:22,577,1010,21,3310
SPB-02881,2019-05-01 0:09,2019-05-01 0:22,529,549,11,2840
SPB-07861,2019-05-01 0:11,2019-05-01 0:22,617,639,10,1670
SPB-10992,2019-05-01 0:10,2019-05-01 0:22,1451,635,12,1830
SPB-07070,2019-05-01 0:17,2019-05-01 0:22,949,952,5,610
SPB-04591,2019-05-01 0:07,2019-05-01 0:22,1821,1824,14,0
SPB-09496,2019-05-01 0:16,2019-05-01 0:22,268,228,5,1010
SPB-15283,2019-05-01 0:01,2019-05-01 0:22,2112,2112,20,1370
SPB-05673,2019-05-01 0:20,2019-05-01 0:22,175,175,2,300
SPB-18478,2019-05-01 0:19,2019-05-01 0:22,126,122,2,730
SPB-16885,2019-05-01 0:11,2019-05-01 0:22,1169,726,11,2240
SPB-16362,2019-05-01 0:18,2019-05-01 0:22,563,3508,4,480
SPB-03051,2019-05-01 0:15,2019-05-01 0:22,503,3501,7,1590
SPB-08077,2019-05-01 0:12,2019-05-01 0:22,129,144,9,2040
SPB-06708,2019-05-01 0:04,2019-05-01 0:22,1268,1050,18,3320
SPB-07833,2019-05-01 0:06,2019-05-01 0:23,418,912,16,3010
SPB-05730,2019-05-01 0:14,2019-05-01 0:23,539,529,7,1110
SPB-19427,2019-05-01 0:02,2019-05-01 0:23,2112,2112,20,980
SPB-00599,2019-05-01 0:18,2019-05-01 0:23,340,1306,3,730
SPB-13844,2019-05-01 0:08,2019-05-01 0:23,1965,708,14,3880
SPB-12123,2019-05-01 0:14,2019-05-01 0:23,503,3501,8,1310
SPB-09292,2019-05-01 0:09,2019-05-01 0:23,1668,1739,13,2700
SPB-17916,2019-05-01 0:15,2019-05-01 0:23,719,1137,7,1360
SPB-19440,2019-05-01 0:04,2019-05-01 0:23,1617,1663,17,2770
SPB-08382,2019-05-01 0:18,2019-05-01 0:23,1821,1823,4,780
SPB-11748,2019-05-01 0:12,2019-05-01 0:23,101,104,9,850
SPB-07331,2019-05-01 0:08,2019-05-01 0:23,1602,1655,13,1590
SPB-07846,2019-05-01 0:19,2019-05-01 0:23,1416,1446,4,580
SPB-07692,2019-05-01 0:05,2019-05-01 0:23,418,912,15,3040
SPB-09042,2019-05-01 0:19,2019-05-01 0:23,1966,1931,3,660
SPB-02656,2019-05-01 0:16,2019-05-01 0:23,1260,2620,6,980
SPB-19939,2019-05-01 0:14,2019-05-01 0:23,1044,1059,8,1730
SPB-16652,2019-05-01 0:03,2019-05-01 0:23,1650,1681,19,2750
SPB-13335,2019-05-01 0:19,2019-05-01 0:23,1243,1245,3,920
SPB-06289,2019-05-01 0:14,2019-05-01 0:23,1433,1451,8,1660
SPB-12084,2019-05-01 0:02,2019-05-01 0:23,542,546,20,2990
SPB-08704,2019-05-01 0:18,2019-05-01 0:23,1124,1125,4,600
SPB-19305,2019-05-01 0:08,2019-05-01 0:23,1050,1218,15,2160
SPB-14014,2019-05-01 0:17,2019-05-01 0:23,1734,1708,5,770
SPB-08986,2019-05-01 0:10,2019-05-01 0:23,1158,1183,12,1500
SPB-15944,2019-05-01 0:18,2019-05-01 0:23,383,431,5,750
SPB-06534,2019-05-01 0:11,2019-05-01 0:23,1448,1414,12,2070
SPB-04354,2019-05-01 0:07,2019-05-01 0:23,2227,2222,15,2260
SPB-06716,2019-05-01 0:05,2019-05-01 0:24,2361,2308,17,2270
SPB-09466,2019-05-01 0:12,2019-05-01 0:24,274,247,10,2220
SPB-02517,2019-05-01 0:17,2019-05-01 0:24,142,156,6,1300
SPB-04589,2019-05-01 0:10,2019-05-01 0:24,816,844,12,1770
SPB-19394,2019-05-01 0:03,2019-05-01 0:24,1601,1668,20,4140
SPB-01574,2019-05-01 0:06,2019-05-01 0:24,2361,2308,17,2260
SPB-16034,2019-05-01 0:14,2019-05-01 0:24,3518,626,9,1130
SPB-14353,2019-05-01 0:06,2019-05-01 0:24,2219,2503,17,2490
SPB-05877,2019-05-01 0:10,2019-05-01 0:24,385,355,13,2450
SPB-05532,2019-05-01 0:06,2019-05-01 0:24,2219,2503,17,2500
SPB-17173,2019-05-01 0:20,2019-05-01 0:24,263,275,3,990
SPB-10487,2019-05-01 0:09,2019-05-01 0:24,1334,1663,13,1460
SPB-13884,2019-05-01 0:10,2019-05-01 0:24,2381,2304,13,1070
SPB-05331,2019-05-01 0:03,2019-05-01 0:24,525,526,20,3420
SPB-10423,2019-05-01 0:05,2019-05-01 0:24,283,283,17,2170
SPB-11536,2019-05-01 0:15,2019-05-01 0:24,128,108,8,63040
SPB-07664,2019-05-01 0:13,2019-05-01 0:24,1721,1741,10,2040
SPB-02661,2019-05-01 0:09,2019-05-01 0:24,1533,1514,14,1700
SPB-17658,2019-05-01 0:11,2019-05-01 0:24,1431,1412,13,2440
SPB-02737,2019-05-01 0:16,2019-05-01 0:24,1044,1010,8,1370
SPB-18999,2019-05-01 0:00,2019-05-01 0:24,906,907,23,2080
SPB-00065,2019-05-01 0:08,2019-05-01 0:24,951,941,15,3120
SPB-16813,2019-05-01 0:10,2019-05-01 0:24,1452,1411,14,1730
SPB-19348,2019-05-01 0:10,2019-05-01 0:24,1452,1411,13,1510
SPB-15261,2019-05-01 0:18,2019-05-01 0:24,1337,1352,6,1050
SPB-00671,2019-05-01 0:17,2019-05-01 0:24,1736,1733,7,1650
SPB-02322,2019-05-01 0:07,2019-05-01 0:24,109,113,17,1970
SPB-09757,2019-05-01 0:07,2019-05-01 0:24,1656,1655,17,3440
SPB-13183,2019-05-01 0:11,2019-05-01 0:25,274,231,13,1610
SPB-05647,2019-05-01 0:19,2019-05-01 0:25,1222,1220,5,1080
SPB-09870,2019-05-01 0:21,2019-05-01 0:25,1986,1912,3,440
SPB-08719,2019-05-01 0:18,2019-05-01 0:25,1011,1017,6,770
SPB-11754,2019-05-01 0:00,2019-05-01 0:25,540,3520,22,3030
SPB-06169,2019-05-01 0:17,2019-05-01 0:25,375,372,7,1530
SPB-13932,2019-05-01 0:21,2019-05-01 0:25,639,623,3,770
SPB-12765,2019-05-01 0:21,2019-05-01 0:25,838,846,3,770
SPB-03723,2019-05-01 0:16,2019-05-01 0:25,419,103,9,2060
SPB-07170,2019-05-01 0:13,2019-05-01 0:25,1964,1996,11,1910
SPB-14677,2019-05-01 0:24,2019-05-01 0:25,1215,2622,0,100
SPB-18385,2019-05-01 0:21,2019-05-01 0:25,2164,2102,3,590
SPB-17793,2019-05-01 0:19,2019-05-01 0:25,2219,2217,6,1120
SPB-16059,2019-05-01 0:16,2019-05-01 0:25,302,326,8,1470
SPB-19857,2019-05-01 0:21,2019-05-01 0:25,1316,1313,3,1060
SPB-10216,2019-05-01 0:04,2019-05-01 0:25,2059,2057,20,2790
SPB-12748,2019-05-01 0:03,2019-05-01 0:25,2357,2363,21,2910
SPB-02884,2019-05-01 0:11,2019-05-01 0:25,943,931,13,2250
