place,place_name
368,SK 서린빌딩 앞
369,광화문 시민열린마당
371,동대입구역 6번출구 뒤
372,약수역 3번출구 뒤
373,청구 어린이공원
374,청구역 2번출구 앞
375,다산 어린이공원
378,청계7가 사거리
379,서울역9번출구
380,CJ제일제당 앞
381,장충체육관
382,약수역 10번출구 앞
383,신당역 12번 출구 뒤
384,종로학원본원
385,종각역 5번출구
386,올림픽기념 국민생활관 앞
387,훈련원공원주차장 앞
388,동성중학교 앞
389,을지로4가역 1번출구
390,충무로역 1번출구
391,정동길입구
393,동대문역 8번 출구
394,경희궁 자이 3단지
395,경희궁 자이 2단지
397,종묘공영주차장 건너편
398,을지로3가역 3번출구
399,서울역 센트럴 자이아파트
400,상암한화오벨리스크 1차 앞
401,상암월드컵파크 10단지 앞
402,상암월드컵파크 9단지 앞
403,부엉이공원 앞
405,DMC빌 앞
406,상암월드컵파크 7단지 앞
407,마포구 육아종합지원센터
408,LG CNS앞
409,누리꿈스퀘어 옆
410,상암중학교 옆
411,DMC홍보관
412,DMC산학협력연구센터 앞
413,상암월드컵파크 3단지 후문
414,상암동주민센터 옆
415,DMC역 9번출구 앞
416,상암월드컵파크 1단지 교차로
417,DMC역 2번출구 옆
418,월드컵경기장역 3번출구 옆
419,홈플러스 앞
420,서울시 공공자전거 상암센터
421,마포구청 앞
422,문화비축기지
424,롯데하이마트 (상암월드컵점)
425,DMC첨단산업센터
426,서울신용보증재단
427,성산시영아파트
428,명보사거리
429,송도병원
430,KEB하나은행 장충동지점
431,청계천 영도교
432,마포중앙도서관
433,을지로입구역 2번출구
434,신당 레미안 버스정류장
435,SK 남산빌딩
436,이대역 5번출구
437,대흥역 1번출구
438,성산2-1 공영주차장
439,마포어린이공원
446,상명대입구
447,신영동삼거리
449,일성아파트
450,효자동 삼거리
451,청와대앞길
452,동대문 종합시장 버스정류장
453,종로오가 지하쇼핑센터 14번출구
454,종로2가 버스정류장 (종각방향)
455,삼익한의원
456,숭인2동 주민센터 입구 (이강3대냉면)
457,종로꽃시장 입구 옆
458,광화문역 5번출구
461,서울지방경찰청
500,어린이대공원역 3번출구 앞
501,광진구의회 앞
